Excluded attributes	MSE
alpha	0.10911324620246887
delta	0.09509304165840149
u	0.09260646253824234
g	0.0845579132437706
r	0.09253186732530594
i	0.08888252079486847
z	0.09648958593606949
cam_col	0.08676738291978836
class	0.08177010715007782
redshift	0.3307340145111084
plate	0.08243457227945328
MJD	0.081209197640419
