Target	MSE
price	73271959552.0
bedrooms	0.48131075501441956
bathrooms	0.17352308332920074
sqft_living	3735.989013671875
sqft_lot	64789432.0
floors	0.09383804351091385
waterfront	0.007268713321536779
view	0.5634145140647888
condition	0.3066633343696594
sqft_above	4895.93994140625
sqft_basement	808.4829711914062
yr_built	582.9140625
yr_renovated	742421.5
